measurement_id,timestamp,station_name,station_type,latitude,longitude,pm25,pm10,no2,so2,co,ozone,temperature,humidity,wind_speed,wind_direction,pressure,visibility,aqi
AQ_000000,2024-01-01 00:15:00,Industrial Zone East,industrial,28.8386,77.1462,98.0,157.0,1134.0,775.0,208.0,1270.0,13.6,57.73407212789255,5.9,285,985.7,25.7,194
AQ_000001,2024-01-01 01:15:00,Residential Park,urban_residential,28.6692,77.4538,1416.0,44.0,91.0,74.0,34.0,70.0,5.9,53.05512444626143,0.3,274,985.7,4.5,500
AQ_000002,2024-01-01 04:00:00,Manufacturing District,industrial,28.4089,77.3178,404.8314826202125,311.0,102.0,772.0,116.0,544.0,9.9,37.59809185864242,2.7,304,1013.6,27.6,169
AQ_000003,2024-01-01 07:00:00,Industrial Zone East,industrial,28.8386,77.1462,100.0,101.0,15.0,91.0,172.0,398.0,13.1,51.64806164283207,6.3,282,1034.5,14.4,196
AQ_000004,2024-01-01 07:15:00,Highway Monitoring Point,urban_traffic,28.6304,77.2177,438.0,139.0,589.0,454.0,84.0,576.0,10.1,41.118144207820286,0.0,261,1012.0,7.1,487
AQ_000005,2024-01-01 08:00:00,Chemical Complex Monitor,industrial,28.3974,77.3266,14.0,2643.0,10050.0,672.0,25.0,754.0,17.4,24.55120092085037,0.6,198,997.1,17.0,54
AQ_000006,2024-01-01 08:45:00,Industrial Zone East,industrial,28.8386,77.1462,105.0,1608.0,415.0,111.0,58.0,180.0,11.9,38.150863558839475,2.3,92,1016.3,12.7,202
AQ_000007,2024-01-01 11:15:00,City Park Monitor,background,28.6169,77.2295,48.0,138.0,176.0,216.0,2.2,179.0,16.4,31.56993023625285,11.8,3,1046.7,23.7,131
AQ_000008,2024-01-01 13:30:00,Highway Monitoring Point,urban_traffic,28.6304,77.2177,86.0,61.0,411.0,259.0,57.0,499.0,8.8,44.82663721834467,8.4,186,977.5,8.4,182
AQ_000009,2024-01-01 14:30:00,Housing Complex Central,urban_residential,28.5494,77.25,197.0,18.0,221.0,-10.380068124020681,42.0,111.0,15.3,50.21256789939685,13.9,324,951.6,14.2,246
AQ_000010,2024-01-01 14:30:00,Residential Park,urban_residential,28.6692,77.4538,8.8,46.0,323.0,76.0,11.0,68.0,18.8,56.91747318517529,14.7,270,977.4,23.3,36
AQ_000011,2024-01-01 17:15:00,Manufacturing District,industrial,28.4089,77.3178,146.0,194.0,341.0,280.0,66.0,344.0,13.7,47.67590686057192,3.0,56,1042.6,16.9,245
AQ_000012,2024-01-01 17:30:00,Residential Park,urban_residential,28.6692,77.4538,16.0,188.0,336.0,731.0,6.3,1082.0,14.5,37.12154349232124,5.7,156,976.7,7.1,58
AQ_000013,2024-01-01 18:00:00,Chemical Complex Monitor,industrial,28.3974,77.3266,90.0,614.0,63.0,213.0,13.0,363.0,7.9,30.679065082487988,7.0,21,1005.7,12.9,186
AQ_000014,2024-01-01 18:45:00,City Park Monitor,background,28.6169,77.2295,6.1,48.0,67.0,360.0,-44.472191730289154,244.0,14.7,37.63064327100338,7.9,272,1005.2,23.8,25
AQ_000015,2024-01-01 19:15:00,Urban Background,background,28.6441,77.2136,3.9,73.0,140.0,135.0,10.0,144.0,13.8,53.30568749892109,6.2,44,976.9,27.1,16
AQ_000016,2024-01-01 19:15:00,Major Road Intersection,urban_traffic,28.5355,77.391,287.0,122.0,240.0,197.0,52.0,400.0,13.0,54.87496511879609,7.9,118,966.6,23.7,336
AQ_000017,2024-01-01 20:00:00,Green Belt Station,background,28.6877,77.2273,54.0,23.0,57.0,32.0,38.0,177.0,13.6,27.621986783576812,3.7,57,968.0,12.2,146
AQ_000018,2024-01-01 20:45:00,Industrial Zone East,industrial,28.8386,77.1462,142.0,419.0,307.0,177.0,46.0,2.6,15.9,23.321138264279007,1.9,293,987.0,17.0,241
AQ_000019,2024-01-01 20:45:00,Housing Complex Central,urban_residential,28.5494,77.25,41.0,752.0,76.0,355.0,48.0,250.0,12.9,26.225879714734145,5.7,248,1039.3,4.3,114
AQ_000020,2024-01-02 02:30:00,Suburban Monitoring,urban_residential,28.4595,77.0266,22.0,52.0,69.0,1127.0,30.0,204.0,9.0,27.93336704149929,2.7,28,1046.9,6.6,71
AQ_000021,2024-01-02 06:45:00,Major Road Intersection,urban_traffic,28.5355,77.391,143.0,148.0,303.0,394.0,2.8,647.0,13.3,39.75777489450479,1.3,108,1040.9,10.1,242
AQ_000022,2024-01-02 07:00:00,Manufacturing District,industrial,28.4089,77.3178,183.0,293.0,534.0,473.0,147.0,202.0,15.2,34.574461498185684,4.6,117,1035.2,20.2,232
AQ_000023,2024-01-02 07:30:00,Residential Area North,urban_residential,28.7041,77.1025,131.0,17.0,249.0,193.0,30.0,309.0,5.7,45.54244896890424,2.7,202,1005.6,9.4,229
AQ_000024,2024-01-02 10:00:00,Suburban Monitoring,urban_residential,28.4595,77.0266,17.1,9.1,45.7,15.600000000000001,0.43,5.300000000000001,11.8,46.84001810908067,11.7,316,1035.4,6.7,220
AQ_000025,2024-01-02 10:00:00,City Park Monitor,background,28.6169,77.2295,6.8,76.0,56.0,1043.0,4.6,78.0,14.1,53.7803769253198,14.0,124,962.9,13.8,28
AQ_000026,2024-01-02 10:15:00,University Campus,background,28.5449,77.1926,52.0,85.0,129.0,138.0,4.3,264.0,18.7,23.1751822120637,14.4,77,979.9,11.1,141
AQ_000027,2024-01-02 11:45:00,Central Business District,urban_traffic,28.6289,77.2065,529.0,717.0,35.0,394.0,0.2,463.0,14.9,21.944986079879804,3.6,216,1028.5,16.5,500
AQ_000028,2024-01-02 15:00:00,City Park Monitor,background,28.6169,77.2295,42.0,40.0,83.0,104.0,21.0,152.0,10.3,42.03052009945044,12.8,149,1022.3,3.4,116
AQ_000029,2024-01-02 15:15:00,Housing Complex Central,urban_residential,28.5494,77.25,547.0,111.0,228.0,9.0,14.0,193.0,13.2,45.50177160189698,3.9,57,1006.0,13.8,500
AQ_000030,2024-01-02 16:30:00,Housing Complex Central,urban_residential,28.5494,77.25,15.0,95.0,31.0,45.0,4.8,517.0,19.5,54.74966388455809,9.6,253,1010.9,29.9,56
AQ_000031,2024-01-02 16:45:00,Central Business District,urban_traffic,28.6289,77.2065,21.0,277.0,969.0,407.0,3.7,714.0,6.5,44.35731378363242,7.4,160,1018.4,15.0,69
AQ_000032,2024-01-02 18:15:00,Residential Area North,urban_residential,28.7041,77.1025,85.0,235.0,252.0,181.0,44.0,322.0,9.1,32.34095927042732,1.5,52,1002.4,14.1,181
AQ_000033,2024-01-02 20:15:00,Highway Monitoring Point,urban_traffic,28.6304,77.2177,189.0,271.0,358.0,499.0,8.2,3397.4821690888957,7.4,30.197702182108213,7.1,204,1025.5,24.3,238
AQ_000034,2024-01-02 21:00:00,Housing Complex Central,urban_residential,28.5494,77.25,153.0,23.0,13.0,103.0,18.0,547.0,10.6,34.54945534603202,7.1,285,1017.0,2.7,202
AQ_000035,2024-01-02 23:15:00,Residential Area North,urban_residential,28.7041,77.1025,43.0,145.0,104.0,64.0,13.0,618.0,15.3,46.73544583690901,4.7,136,965.3,12.7,119
AQ_000036,2024-01-03 04:00:00,Manufacturing District,industrial,28.4089,77.3178,18.0,115.0,446.0,182.0,31.0,548.0,13.3,48.326629294893245,5.8,29,1022.0,23.2,62
AQ_000037,2024-01-03 05:15:00,Residential Park,urban_residential,28.6692,77.4538,33.0,245.0,135.0,168.0,6.2,226.0,11.3,37.616748258465066,6.3,48,1030.8,6.3,94
AQ_000038,2024-01-03 06:45:00,University Campus,background,28.5449,77.1926,45.0,-30.44427077233436,178.0,73.0,4.7,17.0,15.4,21.494992745846968,1.5,212,1013.1,19.5,124
AQ_000039,2024-01-03 07:45:00,Chemical Complex Monitor,industrial,28.3974,77.3266,714.0,6966.0,1158.0,2193.0,16.799999999999997,3246.0,7.9,25.06668138662857,0.1,76,1042.5,23.7,287
